"from","to","weight"
"0","16","47017"
"0","33","56047"
"0","57","47554"
"0","4","64258"
"1","44","33764"
"1","28","59568"
"1","49","57518"
"2","25","2671"
"2","63","1958"
"2","25","5306"
"2","57","46351"
"2","10","60110"
"3","57","41460"
"3","13","24155"
"4","10","45918"
"4","15","39794"
"4","1","52048"
"4","29","12899"
"4","53","8086"
"5","42","62608"
"6","44","21670"
"6","1","18317"
"6","19","22657"
"7","33","20217"
"7","33","48502"
"8","38","22047"
"8","32","3390"
"8","0","51400"
"9","38","56138"
"9","55","50511"
"9","0","46569"
"10","30","39433"
"10","11","7172"
"10","47","38973"
"11","22","26959"
"12","5","45056"
"13","17","27021"
"13","35","6561"
"13","62","41163"
"14","33","11280"
"15","49","45240"
"15","10","4061"
"15","6","61482"
"15","17","35619"
"16","29","45670"
"16","6","2483"
"16","50","18016"
"17","58","11975"
"17","62","21079"
"18","21","6247"
"18","47","27178"
"18","53","5122"
"18","60","8415"
"18","27","16231"
"19","55","46057"
"20","49","18948"
"20","40","51304"
"20","45","60900"
"20","2","24568"
"20","50","60270"
"21","41","63747"
"21","0","6494"
"21","8","36520"
"21","35","17951"
"21","25","24117"
"22","63","1195"
"23","17","14212"
"23","26","12581"
"23","5","9945"
"23","7","8969"
"24","5","39860"
"24","48","804"
"24","55","58479"
"24","58","18900"
"24","40","24512"
"25","29","11569"
"26","8","15985"
"26","42","40839"
"26","28","46341"
"27","38","43040"
"28","15","3439"
"28","59","15213"
"29","5","41079"
"29","38","31399"
"29","48","35272"
"29","32","5420"
"29","5","27140"
"30","62","19586"
"30","43","33989"
"30","13","1340"
"30","35","17553"
"30","49","23931"
"31","27","63463"
"32","61","7608"
"32","21","23560"
"33","42","8851"
"33","18","9925"
"34","41","49421"
"34","59","15353"
"34","50","24100"
"35","18","19889"
"35","15","14680"
"35","54","35943"
"36","21","14942"
"36","6","4056"
"36","48","32709"
"37","27","7482"
"37","19","65037"
"37","48","27452"
"37","19","52574"
"37","46","38592"
"38","54","42415"
"38","15","43206"
"39","33","6928"
"39","63","24015"
"39","7","58881"
"39","21","6949"
"39","46","51145"
"40","18","7660"
"40","42","13528"
"40","10","37665"
"40","2","40436"
"41","22","43883"
"41","32","58837"
"41","6","12406"
"41","45","24463"
"41","9","50164"
"42","48","31106"
"42","56","33341"
"42","52","51389"
"42","34","15519"
"43","39","47948"
"43","62","6517"
"43","40","1475"
"43","39","46682"
"44","9","57838"
"44","56","7436"
"45","57","62516"
"45","50","31706"
"46","56","43328"
"47","18","58045"
"47","19","53213"
"47","40","25759"
"48","53","36883"
"48","18","24492"
"48","12","60901"
"48","23","56331"
"48","33","57055"
"49","29","6603"
"49","24","30848"
"49","13","60700"
"49","58","33658"
"50","32","46372"
"50","12","35279"
"50","10","39296"
"51","38","52520"
"51","32","28350"
"51","19","8402"
"52","27","3662"
"52","47","58520"
"52","40","45615"
"52","53","25275"
"52","62","52686"
"53","10","9902"
"53","6","55832"
"53","29","9722"
"54","17","24196"
"54","36","23992"
"54","57","54301"
"54","19","42287"
"54","8","29418"
"55","7","61547"
"56","49","2542"
"56","17","957"
"56","38","18040"
"56","27","37707"
"57","28","23568"
"57","10","3345"
"57","11","30205"
"57","14","57194"
"57","6","58787"
"58","39","57661"
"58","0","64155"
"59","51","35102"
"59","30","65287"
"59","45","47838"
"59","19","56088"
"60","9","8896"
"60","52","39459"
"60","14","15656"
"60","45","56022"
"61","1","61753"
"62","11","13236"
"63","49","24762"
"63","10","64764"
"63","45","48465"
